Ndofs,Evals
159,495.5005613441423
159,499.75159621048
199,486.2571695991329
199,486.53946827484265
199,497.89428589155426
260,487.70769298669086
260,492.6104266361182
260,499.2284400825828
270,488.3780348576577
270,491.37418333693944
270,499.11075970861646
355,490.0340751357602
355,497.3566874132338
397,496.0414345103701
397,498.8614287313418
420,496.03977896628015
420,498.8546121889379
481,488.5079609153259
481,492.2539923065188
481,499.84679133060473
504,488.5045190841745
504,492.25382991898135
504,499.83453292991874
664,483.5285936688755
664,486.99773685323885
664,492.57903541821946
664,500.42264643830754
742,484.03491774740365
742,498.166469803279
742,499.3240182389583
876,483.9357557920695
876,491.39064758825765
876,497.12037855530286
953,492.3564190821757
953,499.5925000900803
1123,488.94393577680654
1123,496.39479200630626
1123,498.2370236830154
1217,492.88551567664683
1217,496.37063270485396
1217,499.8231487466418
1435,485.75688800960813
1435,492.3139962958463
1435,493.5158379887329
1435,499.1249544175121
1695,484.21465636117006
1695,486.1316612727316
1695,488.7798771371818
1695,497.5923326148157
2044,491.4433380282603
2258,487.62031029711335
2258,501.47921403240804
2690,494.905179907584
2690,495.99578068995305
2940,493.8936161370294
2940,495.3889088007844
2940,502.63292366022176
3589,488.96595188483957
3589,490.80662120666204
3589,496.4204099369519
3589,499.08985563305095
3589,502.02314929518775
3589,503.3247853304497
3983,487.899621638191
3983,489.48533317609855
3983,495.465016125
3983,498.6044915329161
3983,500.4063753178487
3983,501.31736400906743
4889,486.12382458466834
4889,487.6149307999639
4889,493.7112047367818
4889,496.90427211727246
4889,498.9091732002355
4889,499.59263106498
4889,501.29073895026744
5357,485.2654673886392
5357,486.27877270976524
5357,492.5561101297986
5357,495.9149756267181
5357,498.2723834636461
5357,498.6783151889797
5357,500.6106361355183
7055,483.8887547254956
7055,484.48350509163083
7055,491.0347540234571
7055,494.5885499159231
7055,496.8101917358622
7055,497.2688259661613
7055,498.7517507225903
7055,503.0232660250259
7528,484.13086079776974
7528,490.03846185803513
7528,493.9741776842892
7528,496.4388513268552
7528,496.9714878743879
7528,498.307595706671
7528,502.65928222204985
8931,488.41893407934907
8931,492.3094654509416
8931,495.25394089831417
8931,495.5139844633451
8931,496.1469675643687
8931,501.5468437434076
9746,487.9117419022242
9746,492.0413906692277
9746,495.0653273155221
9746,495.1926349056906
9746,495.61468606552415
9746,501.1632624983545
12250,487.19780523263177
12250,491.49340818100984
12250,494.6627172642895
12250,494.6827506305775
12250,495.0633291723984
12250,500.6060979757186
13527,486.98019680191317
13527,491.24942149127435
13527,494.4215119682861
13527,494.4559619237501
13527,494.63371650825394
13527,500.2717538266288
13527,503.2773953312154
16842,486.59578636988823
16842,490.9304099894375
16842,494.11480560167365
16842,494.1394527161758
16842,494.1720582736705
16842,499.9385004486929
16842,502.96881788536837
17910,486.51125019718864
17910,490.834271777813
17910,494.04328566329815
17910,494.0784069104547
17910,494.10025026619957
17910,499.87543702447095
17910,502.9121877181321
22159,486.36284960704046
22159,490.7156543310801
22159,493.9393453593492
22159,493.9417663898538
22159,493.9641196399704
22159,499.7542008038961
22159,502.76148009990624
25461,486.2310778018011
25461,490.5818753926094
25461,493.8228233829851
25461,493.8391873111281
25461,493.8438531276025
25461,499.6375401047003
25461,502.65379077432675
31555,485.9760341425165
31555,490.3867210927133
31555,493.681482002675
31555,493.71757683278685
31555,493.73060691944147
31555,499.5143606326704
31555,502.546714353805
34138,485.9227691462431
34138,490.3458094959004
34138,493.6456025675648
34138,493.67938866191236
34138,493.6863927036937
34138,499.4550178115514
34138,502.49943749027676
40197,485.8666758195219
40197,490.30580108576606
40197,493.61140408067627
40197,493.636004199293
40197,493.6511574349178
40197,499.41493938763216
40197,502.4552834499697
45568,485.83720418731355
45568,490.27520744078737
45568,493.5849193702299
45568,493.5941087250242
45568,493.6091743714287
45568,499.3596759551418
45568,502.4118885914392
55652,485.80686438545945
55652,490.23973739266484
55652,493.5499247730268
55652,493.5593755813503
55652,493.5648665997409
55652,499.32436687578337
55652,502.3792373386655
62678,485.79355821524655
62678,490.22734950962854
62678,493.5362810713539
62678,493.5482063053232
62678,493.5498124082091
62678,499.30523229939183
62678,502.3611412478374
74215,485.7697140609877
74215,490.20591999718715
74215,493.52003067470304
74215,493.5220768258042
74215,493.52631853718736
74215,499.28495737825824
74215,502.3410443931929
84219,485.7586225642828
84219,490.19580417763825
84219,493.5126520963975
84219,493.5148132372524
84219,493.5178657091152
84219,499.2774995295147
84219,502.33348116828296
106638,485.7431852151669
106638,490.18395646545514
106638,493.50381256555033
106638,493.5044156089725
106638,493.50723760557986
106638,499.26714648883217
106638,502.324174429247
119586,485.73673987677273
119586,490.1780017369721
119586,493.4970035105906
119586,493.4990929557779
119586,493.50011752218256
119586,499.2607087888277
119586,502.3188696185317
137645,485.7315228855883
137645,490.1731749053842
137645,493.49314070354944
137645,493.49426534585507
137645,493.4957427325668
137645,499.25611986787936
137645,502.3143476927175
157337,485.7285370118708
157337,490.17041467779364
157337,493.4896295480798
157337,493.49103765059044
157337,493.4930346561631
157337,499.25300220671625
157337,502.31151235057945
179424,485.7257360060437
179424,490.16746174974793
179424,493.4871658240558
179424,493.4875114298025
179424,493.4886929459624
179424,499.24928416057986
179424,502.3086504134882
215811,485.7239616371436
215811,490.16573890045834
215811,493.48544040945154
215811,493.4856463148731
215811,493.4865642692055
215811,499.2471384414793
215811,502.3067459943616
256900,485.7222447031804
256900,490.1641386920197
256900,493.48390547991005
256900,493.48401556963995
256900,493.48452662344147
256900,499.24505256207357
256900,502.3049699107303
