Ndofs,Error Eigenvalue 0,Error Eigenvalue 1,Error Eigenvalue 2,Error Eigenvalue 3,Error Eigenvalue 4,Error Eigenvalue 5,Error Eigenvalue 6
25461,0.6406049038600372,0.5515156390603693,0.45543987943915454,0.45775082021384605,0.4795930165289519,0.5091482418225155,0.4565101891759582
31555,0.5088330986206984,0.4177367005896713,0.3389179030750711,0.35517174148816366,0.35932650416100387,0.3924875426267249,0.34882086359647246
34138,0.25378943933606024,0.22258240069356816,0.19757652276496174,0.23356126314689618,0.24608029600000236,0.2693080705968214,0.24174444307470822
40197,0.20052444306270445,0.18167080388070644,0.16169708765477253,0.19537309227240485,0.2018660802522163,0.20996524947781836,0.1944675795464832
45568,0.14443111634147954,0.14166239374634415,0.12749860076621644,0.15198862965303306,0.1666308114763524,0.16988682555859214,0.15031353923944835
55652,0.11495948413312362,0.11106874876765005,0.10101389031984809,0.110093155384277,0.12464774798723965,0.11462339306825697,0.10691868070892951
62678,0.08461968227902616,0.07559870064511642,0.06601929311676713,0.07536001171035878,0.08033997629945588,0.07931431370980135,0.07426742793524
74215,0.07131351206612635,0.06321081760881953,0.0523755914438766,0.06419073568326894,0.06528578476763869,0.06017973731826487,0.056171337107116415
84219,0.04746935780730155,0.04178130516743295,0.03612519479298726,0.03806125616426925,0.041791913745896636,0.039904816184673564,0.03607448246259537
106638,0.03637786110238039,0.03166548561853233,0.028746616487467236,0.030797667612432633,0.033339085673731006,0.03244696744116027,0.02851125755267958
119586,0.020940511986452748,0.01981777343542035,0.019907085640284095,0.020400039332571396,0.022710982138391955,0.022093926758600446,0.01920451851674443
137645,0.014495173592308674,0.013863044952358905,0.013098030680566808,0.01507738613793208,0.015590898741095316,0.015656226754117597,0.013899707801442673
157337,0.009278182407854274,0.009036213364481682,0.009235223639393553,0.0102497762151188,0.011216109125314233,0.011067305805795513,0.00937778198721162
179424,0.006292308690376558,0.006275985773925186,0.005724068169740804,0.007022080950491727,0.008508032721636027,0.007949644642678777,0.006542439849170023
215811,0.003491302863267265,0.003323057728209733,0.003260344145758154,0.0034958601625589836,0.00416632252091631,0.004231598506294176,0.0036805027579021043
256900,0.0017169339631664116,0.001600208438617301,0.0015349295414921471,0.0016307452331716377,0.002037645764005447,0.002085879405740343,0.0017760836313414075
